Total time elapsed: 0.0057	Time updating: 0.0000	Time rendering: 0.0069	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0091	Time updating: 0.0000	Time rendering: 0.0046	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0069	Time updating: 0.0000	Time rendering: 0.0075	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0102	Time updating: 0.0000	Time rendering: 0.0029	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0056	Time updating: 0.0000	Time rendering: 0.0057	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0108	Time updating: 0.0000	Time rendering: 0.0073	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0101	Time updating: 0.0001	Time rendering: 0.0072	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0099	Time updating: 0.0001	Time rendering: 0.0025	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0050	Time updating: 0.0000	Time rendering: 0.0033	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0057	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0058	Time updating: 0.0000	Time rendering: 0.0032	Time Sleeping: 0.0034	FPS: 49
Total time elapsed: 0.0122	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0054	Time updating: 0.0000	Time rendering: 0.0062	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0086	Time updating: 0.0000	Time rendering: 0.0073	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0093	Time updating: 0.0000	Time rendering: 0.0051	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0074	Time updating: 0.0000	Time rendering: 0.0072	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0097	Time updating: 0.0000	Time rendering: 0.0026	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0050	Time updating: 0.0000	Time rendering: 0.0028	Time Sleeping: 0.0012	FPS: 49
